reporting_region,methods,planned_number_sites,planned_number_drops,planned_number_transects,complete_number_sites,complete_number_drops,complete_number_transects,percent_sites_completed
Adelaide Metro,"UVC, BRUVS",26,100,10,9,36,0,34.62
South Coast,BRUVS,30,120,0,12,48,0,40.00
Northern Kangaroo Island,BRUVS,6,24,0,0,0,0,0.00
Western Spencer Gulf ,BRUVS,15,72,0,12,60,0,80.00
Fleurieu,BRUVS,12,48,0,12,48,0,100.00
Southern Yorke,BRUVS,24,96,0,12,48,0,50.00
Eastern Spencer Gulf,BRUVS,6,24,0,0,0,0,0.00
Upper Gulf St Vincent,BRUVS,12,48,0,7,24,0,58.33
Eastern Kangaroo Island,BRUVS,6,24,0,0,0,0,0.00
Upper Spencer Gulf,BRUVS,8,16,0,0,0,0,0.00