"Sample","Location","Site","Year","AB","SpeciesRichness","FamilyRichness","TotalAbundance","demersal","reef-associated","NA.x","benthopelagic","pelagic-neritic","pelagic-oceanic","Carnivore","Omnivore","Planktivore","NA.y","Herbivore","Chondrichthyes","Invertebrate","Teleost"
"WI_T01_1704","Windara Reef","Oyster Reef",2017,"Pre-AB",4,3,10,1,2,1,0,0,0,1,2,0,1,0,0,1,3
"WI_T01_1711","Windara Reef","Oyster Reef",2017,"Pre-AB",3,3,16,0,0,1,1,1,0,2,0,0,1,0,0,1,2
"WI_T01_1804","Windara Reef","Oyster Reef",2018,"Pre-AB",6,6,9,3,0,3,0,0,0,3,0,0,3,0,2,3,1
"WI_T01_1811","Windara Reef","Oyster Reef",2018,"Pre-AB",6,5,11,2,0,3,1,0,0,3,0,0,3,0,0,3,3
"WI_T01_1910","Windara Reef","Oyster Reef",2019,"Pre-AB",1,1,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"WI_T01_2010","Windara Reef","Oyster Reef",2020,"Pre-AB",6,5,92,4,0,1,1,0,0,3,2,0,1,0,0,1,5
"WI_T02_1704","Windara Reef","Oyster Reef",2017,"Pre-AB",9,6,25,4,3,1,1,0,0,4,3,1,1,0,1,1,7
"WI_T02_1711","Windara Reef","Oyster Reef",2017,"Pre-AB",8,7,35,3,1,2,1,1,0,6,0,0,2,0,1,2,5
"WI_T02_1804","Windara Reef","Oyster Reef",2018,"Pre-AB",6,6,53,3,1,1,1,0,0,4,1,0,1,0,0,1,5
"WI_T02_1811","Windara Reef","Oyster Reef",2018,"Pre-AB",6,4,49,1,2,2,1,0,0,2,2,0,2,0,0,2,4
"WI_T02_1910","Windara Reef","Oyster Reef",2019,"Pre-AB",4,3,70,1,0,1,1,0,1,3,0,0,1,0,0,1,3
"WI_T02_2010","Windara Reef","Oyster Reef",2020,"Pre-AB",13,9,265,6,2,2,1,1,1,7,3,0,2,1,1,2,10
"WI_T03_1704","Windara Reef","Oyster Reef",2017,"Pre-AB",6,5,14,3,2,1,0,0,0,2,2,1,1,0,1,1,4
"WI_T03_1711","Windara Reef","Oyster Reef",2017,"Pre-AB",5,4,21,1,1,2,1,0,0,2,1,0,2,0,0,2,3
"WI_T03_1804","Windara Reef","Oyster Reef",2018,"Pre-AB",4,4,12,1,1,1,1,0,0,3,0,0,1,0,0,1,3
"WI_T03_1811","Windara Reef","Oyster Reef",2018,"Pre-AB",5,5,13,2,1,2,0,0,0,3,0,0,2,0,0,2,3
"WI_T03_1910","Windara Reef","Oyster Reef",2019,"Pre-AB",3,3,6,0,1,1,0,1,0,2,0,0,1,0,0,1,2
"WI_T03_2010","Windara Reef","Oyster Reef",2020,"Pre-AB",11,7,136,5,0,2,1,2,1,6,3,0,2,0,0,2,9
"WI_T04_1704","Windara Reef","Oyster Reef",2017,"Pre-AB",2,2,6,0,1,1,0,0,0,0,1,0,1,0,0,1,1
"WI_T04_1711","Windara Reef","Oyster Reef",2017,"Pre-AB",4,4,12,1,0,1,1,1,0,3,0,0,1,0,1,1,2
"WI_T04_1804","Windara Reef","Oyster Reef",2018,"Pre-AB",5,5,8,3,1,1,0,0,0,4,0,0,1,0,1,1,3
"WI_T04_1811","Windara Reef","Oyster Reef",2018,"Pre-AB",5,5,49,2,0,2,1,0,0,3,0,0,2,0,1,2,2
"WI_T04_1910","Windara Reef","Oyster Reef",2019,"Pre-AB",5,4,27,2,0,3,0,0,0,2,1,0,2,0,0,2,3
"WI_T04_2010","Windara Reef","Oyster Reef",2020,"Pre-AB",10,8,106,5,1,1,0,2,1,6,3,0,1,0,0,1,9
"WINC01_1704","Windara Reef","North control",2017,"Pre-AB",8,6,22,5,1,2,0,0,0,3,2,1,2,0,1,2,5
"WINC01_1711","Windara Reef","North control",2017,"Pre-AB",8,8,24,3,1,1,1,2,0,5,1,1,1,0,1,1,6
"WINC01_1804","Windara Reef","North control",2018,"Pre-AB",8,8,41,6,0,2,0,0,0,5,1,0,2,0,2,2,4
"WINC01_1811","Windara Reef","North control",2018,"Pre-AB",10,9,17,5,1,1,1,1,1,7,1,0,1,1,1,1,8
"WINC01_1910","Windara Reef","North control",2019,"Pre-AB",11,9,72,8,0,2,1,0,0,6,2,0,2,1,1,2,8
"WINC01_2010","Windara Reef","North control",2020,"Pre-AB",13,10,260,8,0,2,1,1,1,9,2,0,2,0,2,2,9
"WINC02_1704","Windara Reef","North control",2017,"Pre-AB",5,4,29,3,1,1,0,0,0,2,2,0,1,0,1,1,3
"WINC02_1711","Windara Reef","North control",2017,"Pre-AB",7,4,24,3,2,1,0,1,0,2,3,1,1,0,0,1,6
"WINC02_1804","Windara Reef","North control",2018,"Pre-AB",7,7,38,3,0,2,0,2,0,3,1,1,2,0,0,2,5
"WINC02_1811","Windara Reef","North control",2018,"Pre-AB",9,8,43,5,0,2,0,2,0,5,2,0,2,0,2,2,5
"WINC02_1910","Windara Reef","North control",2019,"Pre-AB",6,5,53,4,0,2,0,0,0,3,2,0,1,0,1,1,4
"WINC02_2010","Windara Reef","North control",2020,"Pre-AB",7,5,19,5,0,2,0,0,0,3,2,0,2,0,1,2,4
"WINC03_1704","Windara Reef","North control",2017,"Pre-AB",8,6,77,5,1,2,0,0,0,2,3,0,2,1,0,2,6
"WINC03_1711","Windara Reef","North control",2017,"Pre-AB",13,9,27,6,2,2,1,2,0,5,4,1,2,1,1,2,10
"WINC03_1804","Windara Reef","North control",2018,"Pre-AB",7,5,85,3,2,2,0,0,0,2,3,0,2,0,0,2,5
"WINC03_1811","Windara Reef","North control",2018,"Pre-AB",9,8,15,6,0,2,1,0,0,3,3,0,2,1,0,2,7
"WINC03_1910","Windara Reef","North control",2019,"Pre-AB",7,6,12,4,0,2,0,1,0,3,2,0,2,0,0,2,5
"WINC03_2010","Windara Reef","North control",2020,"Pre-AB",11,9,39,6,0,2,2,1,0,6,2,1,2,0,0,2,9
"WINC04_1704","Windara Reef","North control",2017,"Pre-AB",9,6,39,5,2,1,0,1,0,4,4,0,1,0,1,1,7
"WINC04_1711","Windara Reef","North control",2017,"Pre-AB",11,9,24,6,2,1,0,2,0,7,3,0,1,0,2,1,8
"WINC04_1804","Windara Reef","North control",2018,"Pre-AB",9,7,27,4,1,3,0,1,0,4,2,0,3,0,0,3,6
"WINC04_1811","Windara Reef","North control",2018,"Pre-AB",11,9,23,6,1,2,1,1,0,6,2,0,2,1,2,2,7
"WINC04_1910","Windara Reef","North control",2019,"Pre-AB",7,5,24,4,0,3,0,0,0,3,1,0,3,0,1,3,3
"WINC04_2010","Windara Reef","North control",2020,"Pre-AB",7,4,10,4,1,2,0,0,0,2,3,0,2,0,1,2,4
"WISC05_1704","Windara Reef","South control",2017,"Pre-AB",6,6,26,3,2,1,0,0,0,4,1,0,1,0,0,1,5
"WISC05_1711","Windara Reef","South control",2017,"Pre-AB",16,13,55,8,2,3,1,1,1,10,1,1,3,1,2,3,11
"WISC05_1804","Windara Reef","South control",2018,"Pre-AB",6,6,31,3,1,1,0,1,0,4,1,0,1,0,0,1,5
"WISC05_1811","Windara Reef","South control",2018,"Pre-AB",6,5,18,3,1,1,0,1,0,3,2,0,1,0,1,1,4
"WISC05_1910","Windara Reef","South control",2019,"Pre-AB",10,9,23,6,2,2,0,0,0,6,2,0,2,0,1,2,7
"WISC05_2010","Windara Reef","South control",2020,"Pre-AB",9,6,43,5,2,2,0,0,0,3,4,0,2,0,1,2,6
"WISC06_1704","Windara Reef","South control",2017,"Pre-AB",5,5,14,3,1,1,0,0,0,3,0,0,1,1,0,1,4
"WISC06_1711","Windara Reef","South control",2017,"Pre-AB",10,8,48,4,1,2,1,1,1,7,1,0,2,0,2,2,6
"WISC06_1804","Windara Reef","South control",2018,"Pre-AB",8,8,23,4,1,1,1,1,0,6,1,0,1,0,1,1,6
"WISC06_1811","Windara Reef","South control",2018,"Pre-AB",9,8,40,5,1,1,1,1,0,5,2,0,1,1,1,1,7
"WISC06_1910","Windara Reef","South control",2019,"Pre-AB",7,6,30,4,0,2,0,1,0,4,1,0,2,0,1,2,4
"WISC06_2010","Windara Reef","South control",2020,"Pre-AB",11,8,42,8,1,1,0,1,0,6,3,0,1,1,1,1,9
"WISC07_1704","Windara Reef","South control",2017,"Pre-AB",12,9,17,8,3,1,0,0,0,7,3,1,1,0,2,1,9
"WISC07_1711","Windara Reef","South control",2017,"Pre-AB",8,8,32,4,1,1,1,1,0,5,1,1,1,0,1,1,6
"WISC07_1804","Windara Reef","South control",2018,"Pre-AB",10,8,57,6,1,1,1,0,1,7,2,0,1,0,2,1,7
"WISC07_1811","Windara Reef","South control",2018,"Pre-AB",9,7,34,6,2,1,0,0,0,5,3,0,1,0,2,1,6
"WISC07_1910","Windara Reef","South control",2019,"Pre-AB",8,7,14,5,0,3,0,0,0,5,1,0,2,0,2,2,4
"WISC07_2010","Windara Reef","South control",2020,"Pre-AB",9,6,27,6,1,1,0,1,0,5,3,0,1,0,1,1,7
"WISC08_1704","Windara Reef","South control",2017,"Pre-AB",9,9,26,5,3,1,0,0,0,7,1,0,1,0,3,1,5
"WISC08_1711","Windara Reef","South control",2017,"Pre-AB",9,8,21,4,2,1,1,1,0,7,1,0,1,0,3,1,5
"WISC08_1804","Windara Reef","South control",2018,"Pre-AB",7,6,15,4,1,2,0,0,0,3,1,1,2,0,0,2,5
"WISC08_1811","Windara Reef","South control",2018,"Pre-AB",9,7,56,5,1,1,1,1,0,5,3,0,1,0,2,1,6
"WISC08_1910","Windara Reef","South control",2019,"Pre-AB",11,11,24,6,2,2,0,1,0,8,1,0,2,0,3,2,6
"WISC08_2010","Windara Reef","South control",2020,"Pre-AB",11,9,195,7,0,2,1,1,0,7,2,0,2,0,1,2,8
